,ERR188044,ERR188104,ERR188234,ERR188245,ERR188257,ERR188273,ERR188337,ERR188383,ERR188401,ERR188428,ERR188454,ERR204916
NM_000033,220,90,161,229,190,91,295,141,226,104,166,143
NM_000052,26,25,11,2,5,9,4,5,16,6,12,20
NM_000074,0,0,1,1,0,2,1,0,2,1,0,0
NM_000117,1400,1228,1329,1589,1474,581,1897,1432,1851,719,1216,1521
NM_000132,10,5,9,4,11,11,21,8,26,13,1,3
NM_000169,607,528,818,429,445,373,437,524,592,344,684,416
NM_000194,2242,3578,2842,2115,2534,1010,2878,3164,4121,2044,2433,2910
NM_000206,9575,8671,9158,6496,5626,4389,7058,6047,8730,4545,7704,7969
NM_000216,12,3,4,4,10,0,1,10,12,21,2,0
NM_000252,299,177,280,107,187,150,236,260,156,178,159,136
NM_000291,59341,73241,52201,30801,23428,22913,31708,48576,36485,39564,39199,60636
NM_000292,840,835,1073,434,506,404,894,550,849,499,639,729
NM_000328,47,113,65,52,92,29,129,71,110,67,110,66
NM_000330,0,0,1,1,1,1,0,0,1,0,2,5
NM_000351,933,1727,1871,453,703,688,1957,725,582,1173,915,1527
NM_000377,3053,2385,3844,2100,2299,1498,3137,1610,2688,1812,2323,2283
NM_000390,621,696,657,325,410,295,619,555,704,446,512,826
NM_000397,3712,3444,4868,1423,3186,1847,4019,2607,3732,2452,2607,2431
NM_000402,0,0,0,0,0,0,3,2,0,0,1,1
NM_000686,6,6,10,0,3,1,0,1,1,2,53,1
NM_001000,5981,6159,8707,5440,5279,4061,4073,6360,7238,4737,5578,6366
NM_001001671,11,14,18,8,8,4,9,9,5,7,13,12
NM_001001995,30,33,17,14,29,8,71,19,48,21,15,17
NM_001005332,4,3,2,1,2,2,0,2,5,1,0,0
NM_001005333,1,1,1,1,0,0,0,0,1,0,1,0
NM_001007,41571,39993,95827,57942,28347,30480,53694,38217,40232,42640,37465,60332
NM_001008537,331,113,259,34,89,223,149,137,166,90,67,74
NM_001009932,15,13,8,8,6,7,9,9,11,7,19,5
NM_001010862,281,365,322,211,222,113,430,203,503,182,295,190
NM_001010888,30,48,29,21,27,10,34,27,57,22,25,34
NM_001012755,227,158,257,92,185,56,368,168,348,159,124,115
NM_001012968,485,618,588,307,413,234,672,402,502,356,424,536
NM_001013627,11,1,5,0,9,2,2,4,8,13,3,15
NM_001013845,635,575,654,490,495,164,535,490,862,341,317,547
NM_001015881,1,1,2,2,2,3,4,2,4,2,6,4
NM_001017980,1262,1985,1604,1244,1678,706,2228,1486,2095,1124,1263,1320
NM_001018024,297,358,476,232,351,188,346,418,455,238,284,357
NM_001018025,23,28,31,11,15,31,37,18,50,12,49,26
NM_001018113,0,2,2,0,1,1,1,0,2,0,0,0
NM_001024455,55,9,51,8,27,3,30,23,39,33,20,34
NM_001024666,0,4,2,0,1,0,4,2,1,1,1,0
NM_001025265,0,1,1,2,0,0,3,0,1,0,0,0
NM_001029891,5095,5157,4656,2032,2093,2630,2544,3360,4286,2355,3463,5234
NM_001029896,2,0,1,1,1,0,3,3,5,0,5,5
NM_001031834,0,1,1,2,2,2,3,2,4,0,3,1
NM_001032726,3,4,6,2,2,2,6,3,4,2,5,0
NM_001034853,6,2,2,1,4,4,11,3,9,1,5,2
NM_001037540,6,9,10,4,4,0,12,2,18,3,0,4
NM_001039840,2,2,2,0,0,0,0,0,0,0,1,0
NM_001042749,31,26,11,7,10,13,18,12,15,15,15,17
NM_001078171,613,393,472,439,600,207,534,370,696,300,421,462
NM_001078172,17,24,18,37,35,9,46,27,44,13,30,41
NM_001078173,3,9,0,11,8,2,1,6,20,3,2,33
NM_001079872,71,50,50,14,26,26,67,16,43,33,29,42
NM_001080485,1388,1751,1858,741,991,642,1306,1177,1021,752,1368,1432
NM_001081550,3126,3944,2088,1226,2337,1162,3426,2542,2903,1992,2514,2507
NM_001105576,59,56,120,81,21,39,30,55,27,40,65,101
NM_001110556,1,2,1,1,0,2,4,0,8,0,2,1
NM_001113490,78,32,42,0,4,18,25,27,3,2,22,39
NM_001127197,1,0,0,2,5,0,5,2,6,0,0,8
NM_001130846,2,2,1,2,1,1,0,0,2,0,1,2
NM_001136159,61,33,61,21,29,21,29,34,24,25,44,26
NM_001136273,12,17,16,7,19,2,28,23,11,19,21,16
NM_001137554,3,1,5,0,0,1,1,4,3,2,4,1
NM_001139457,9,1,9,15,17,2,19,18,26,3,26,9
NM_001142386,2619,3365,1765,1471,1743,814,2618,1976,2975,1618,1418,2718
NM_001142797,18,13,13,3,6,14,3,0,3,1,21,7
NM_001143978,9,7,13,2,5,5,11,1,9,12,6,6
NM_001144002,1,1,1,1,0,1,3,0,0,0,0,2
NM_001145073,87,83,70,22,45,31,86,51,51,43,61,60
NM_001145408,1,0,1,2,1,1,0,0,1,5,1,0
NM_001145414,33,29,44,22,48,20,40,33,28,15,37,30
NM_001145951,10,21,19,10,10,7,19,11,21,8,8,22
NM_001152,11617,13415,17620,8034,8260,5366,9420,9083,11841,7196,9832,10652
NM_001159702,1,7,0,1,0,0,0,0,3,0,1,0
NM_001163280,0,0,2,0,7,0,4,5,2,0,0,9
NM_001163438,10,5,24,8,5,13,6,9,1,24,23,26
NM_001164741,9,9,8,5,2,3,13,4,6,1,10,3
NM_001164803,1104,1653,1327,909,1339,464,1581,1280,1513,954,1100,855
NM_001166278,0,1,2,1,0,0,4,2,4,4,0,3
NM_001166426,34,20,47,8,16,13,49,16,50,15,25,17
NM_001166599,107,108,71,47,63,38,181,39,99,68,71,80
NM_001167947,7,10,10,4,1,4,5,1,2,2,8,7
NM_001168465,1,2,0,0,0,0,3,1,0,1,2,7
NM_001170460,4,7,10,1,3,0,5,1,4,2,5,2
NM_001170704,1,2,1,1,2,3,8,1,4,0,2,4
NM_001170747,2,6,3,10,4,0,5,17,3,6,5,9
NM_001170779,1,2,1,0,0,1,0,1,1,1,2,0
NM_001170780,4,1,4,0,1,1,2,1,4,0,1,1
NM_001170781,46,57,50,38,41,19,21,26,64,36,48,35
NM_001171080,284,512,211,202,342,101,418,279,410,191,298,248
NM_001171135,0,0,0,8,4,1,21,10,5,1,5,5
NM_001171162,10,7,15,1,5,3,7,7,5,2,3,9
NM_001171163,3,2,3,1,1,3,4,1,0,2,3,3
NM_001171909,8,5,19,3,11,6,10,5,22,9,6,5
NM_001173479,4,8,2,3,6,2,1,1,6,1,1,7
NM_001173487,2,1,0,0,1,1,0,0,2,0,0,0
NM_001173488,5,4,4,6,3,4,10,3,9,1,5,1
NM_001173517,9,17,17,8,10,4,18,7,18,5,11,1
NM_001178085,0,2,0,0,1,0,2,0,2,1,0,0
NM_001178135,0,3,7,0,0,3,5,0,3,2,0,1
NM_001183,2028,1392,2069,1512,1346,768,1495,1163,1636,1029,1635,1342
NM_001184742,1,1,0,1,1,0,1,1,3,0,0,0
NM_001184772,5,5,12,2,3,7,4,0,3,0,2,3
NM_001184819,0,0,0,0,0,1,0,1,0,2,3,1
NM_001184896,3,0,0,0,1,0,1,0,0,0,1,2
NM_001184898,7,13,7,0,10,2,18,2,17,6,9,5
NM_001190708,1,1,0,2,1,1,1,0,1,4,0,1
NM_001193270,1,1,1,0,0,0,3,0,1,1,1,5
NM_001198719,5,5,3,11,20,1,3,7,6,3,2,10
NM_001199818,16,14,12,4,11,1,14,10,16,6,16,10
NM_001199972,117,192,152,93,116,48,273,61,334,46,127,86
NM_001204527,0,0,0,1,2,0,0,1,2,0,3,0
NM_001242310,9,16,8,1,1,1,13,2,15,3,5,6
NM_001242618,0,0,1,0,0,1,2,0,1,1,0,3
NM_001243197,1,9,2,1,1,0,1,1,3,1,0,0
NM_001256155,158,147,35,80,77,19,73,68,156,58,32,92
NM_001256197,17,22,19,7,14,2,17,7,17,14,18,13
NM_001256743,1,0,1,0,1,2,0,0,0,0,1,0
NM_001271560,1,2,0,1,1,0,0,0,0,0,0,2
NM_001271805,2,2,2,1,0,0,1,2,2,1,2,0
NM_001271836,1,0,0,4,6,0,6,1,0,0,5,1
NM_001272071,4,10,0,2,5,3,7,2,8,3,1,2
NM_001277307,2,1,2,1,0,1,2,1,2,6,3,0
NM_001277710,2,2,2,0,1,0,1,0,0,1,2,1
NM_001281463,1,2,2,2,0,0,6,1,1,1,2,2
NM_001282163,0,1,0,0,0,0,2,0,3,1,0,1
NM_001282167,20,9,15,10,12,6,14,8,10,6,8,20
NM_001282197,3,1,2,0,1,1,2,2,1,0,1,0
NM_001282302,1,1,4,2,2,1,1,2,3,3,0,0
NM_001282311,1,2,2,1,0,0,4,0,0,0,0,0
NM_001282400,0,1,0,0,0,1,4,0,0,0,2,0
NM_001282651,1,1,2,0,0,2,0,0,1,0,0,2
NM_001287344,0,0,0,0,4,0,3,3,4,0,0,0
NM_001288747,5,10,5,1,2,1,9,4,1,0,4,5
NM_001289,210,178,126,685,569,150,503,208,1216,304,495,331
NM_001289773,19,30,15,13,15,5,25,16,24,5,5,19
NM_001297563,1,0,1,0,2,0,3,0,3,1,1,1
NM_001300888,1,0,2,0,1,0,3,0,0,1,0,1
NM_001301228,1,0,0,1,1,0,1,0,0,0,1,1
NM_001303624,7,2,21,0,3,1,8,17,4,2,19,2
NM_001304990,2,0,3,1,1,1,2,1,1,0,1,1
NM_001305840,14,4,12,4,4,4,5,4,13,1,2,8
NM_001306144,659,683,775,480,572,305,846,600,781,406,618,556
NM_001306145,3,5,5,4,2,1,7,3,14,3,2,3
NM_001306177,0,0,0,2,3,0,4,0,2,2,1,1
NM_001306206,1,1,4,0,3,0,1,0,2,1,1,4
NM_001316337,2,0,2,3,1,2,0,0,1,2,1,1
NM_001412,2328,3342,4114,3601,3263,1758,5387,3586,3959,3392,2873,3856
NM_001415,9481,11564,15791,11813,9221,6512,14476,8518,13519,9810,8437,12054
NM_001421,0,0,0,1,5,0,4,0,1,0,1,3
NM_001448,1058,351,1185,115,207,8,634,311,374,176,18,607
NM_001493,3065,2543,3025,2128,2192,1138,2855,1864,3585,1660,2470,2203
NM_001551,2735,2350,3453,1567,1519,1182,1759,2130,2042,1742,2679,2201
NM_001560,63,113,82,42,39,129,20,27,32,40,27,78
NM_001636,22573,14918,25333,22669,17636,9018,20581,19025,23388,11690,21666,26269
NM_001649,1,0,3,20,0,1,2,2,0,10,1,0
NM_001669,322,172,233,80,152,37,282,130,207,173,293,142
NM_001830,5,10,8,1,0,0,3,2,0,1,0,2
NM_001866,3044,3219,3288,2795,2785,1308,3306,3536,4282,1847,3301,2291
NM_002049,2,2,1,0,1,0,2,0,3,0,0,0
NM_002183,40,34,12,9,28,19,15,23,25,9,30,31
NM_002186,3,2,1,0,0,0,0,1,4,0,1,3
NM_002294,121,111,117,56,79,60,95,102,90,52,146,82
NM_002444,40003,31141,40718,17085,20574,16553,33379,19073,30435,22510,25790,24557
NM_002536,1129,795,973,498,494,407,636,495,594,395,615,643
NM_002547,5,1,0,0,2,0,2,1,1,0,1,1
NM_002565,2,1,2,0,0,1,4,0,1,1,1,1
NM_002621,0,1,2,3,1,0,4,1,2,3,0,4
NM_002641,21,34,22,7,15,5,26,16,40,14,19,27
NM_002668,1735,1232,1904,776,957,648,1546,1214,1153,886,1497,1495
NM_002764,278,420,329,176,202,138,279,244,394,197,242,280
NM_002893,199,113,155,178,235,82,340,314,276,102,195,279
NM_002910,174,203,106,145,120,66,148,130,348,55,57,138
NM_003022,5434,5233,4267,3100,3729,2043,4252,4332,4906,3301,4867,3754
NM_003173,0,0,0,1,1,0,2,1,1,0,0,0
NM_003179,23,17,60,15,25,17,20,16,32,10,18,22
NM_003254,3086,1270,1553,1073,1334,856,1535,809,2396,796,863,1604
NM_003334,16,4,11,25,30,3,60,31,36,12,43,43
NM_003399,50,18,26,43,20,8,36,11,66,32,10,47
NM_003446,1,1,4,1,2,2,2,4,3,0,1,6
NM_003492,104,56,71,112,88,30,68,72,93,50,100,68
NM_003611,1448,1666,1213,719,1021,547,2120,1132,1499,1159,943,974
NM_003639,2,4,6,0,2,3,3,0,1,1,1,5
NM_003688,3,5,2,0,1,0,5,1,5,1,2,0
NM_003868,0,0,0,0,0,1,0,0,0,2,4,1
NM_004019,3,11,1,0,0,2,2,1,11,2,3,4
NM_004065,0,1,1,5,3,0,0,0,0,0,0,0
NM_004085,236,287,280,214,275,116,289,260,393,190,210,241
NM_004089,28,47,74,71,88,14,158,106,84,36,204,195
NM_004229,3125,3191,2843,1665,2114,1408,4256,2104,3974,2572,1919,2612
NM_004251,2,5,10,0,4,3,3,3,8,3,1,0
NM_004312,21,12,14,4,3,6,25,4,17,8,7,7
NM_004344,492,545,520,425,498,223,615,551,705,411,540,472
NM_004429,40,9,73,35,41,16,45,35,49,24,57,30
NM_004463,107,63,101,55,83,39,79,83,90,55,86,50
NM_004493,1,0,3,0,0,2,1,2,3,0,3,0
NM_004538,4,2,8,1,5,2,7,5,7,2,12,6
NM_004541,2591,2384,3002,1797,1868,1120,1523,2250,2547,1237,2534,2154
NM_004586,2516,2710,2227,1082,1595,990,2302,1927,2535,1648,1899,2106
NM_004595,35,55,45,11,29,15,53,52,47,29,31,38
NM_004615,16,3,3,1,5,1,2,2,4,2,5,4
NM_004650,1,0,0,2,1,0,1,1,0,0,2,3
NM_004651,2310,1995,2762,1421,1667,981,2433,1465,2010,1590,1534,1450
NM_004699,1790,1565,1907,1405,1409,754,1459,1126,2415,731,1425,1606
NM_004794,598,669,844,447,384,403,486,562,469,299,653,644
NM_004840,62,43,48,9,33,19,48,39,31,33,9,31
NM_004867,7,3,6,4,4,3,2,8,7,3,11,8
NM_004979,79,71,63,29,33,34,50,39,40,20,39,44
NM_004992,1130,802,831,308,505,391,831,519,640,530,588,612
