,ERR188044,ERR188104,ERR188234,ERR188245,ERR188257,ERR188273,ERR188337,ERR188383,ERR188401,ERR188428,ERR188454,ERR204916
NM_006730,20,6,15,2,6,3,18,8,12,4,8,8
NM_006733,617,665,487,291,448,231,660,518,666,360,480,512
NM_006743,10079,16266,10290,7645,6756,3148,8011,9391,10254,6297,9022,10392
NM_006746,0,0,0,0,0,0,0,0,0,0,0,0
NM_006777,0,0,0,0,0,0,0,0,0,0,0,0
NM_006800,2,1,4,1,3,2,4,2,5,3,5,3
NM_006875,3424,4389,6505,9211,4392,2117,3587,3951,5311,3089,6378,4515
NM_006883,0,0,0,0,0,0,0,0,0,0,0,0
NM_006915,628,573,498,231,381,267,466,506,676,298,351,456
NM_006950,0,0,0,0,0,0,0,1,0,0,0,0
NM_006962,0,0,0,0,0,0,0,0,0,0,0,0
NM_006978,894,739,1066,702,550,400,778,612,728,462,847,674
NM_006986,0,0,0,0,0,0,0,0,0,0,0,0
NM_007003,0,0,0,0,1,0,0,0,0,0,0,0
NM_007052,0,0,0,0,0,0,0,0,0,0,0,0
NM_007075,2,2,4,3,4,0,1,3,11,0,0,3
NM_007130,1,1,0,0,1,0,0,1,0,1,0,0
NM_007131,80,56,44,12,34,17,72,36,51,27,52,33
NM_007137,423,385,191,109,169,161,315,160,411,187,228,226
NM_007150,0,0,0,0,0,0,0,0,0,0,0,0
NM_007156,117,150,109,67,74,50,142,86,105,62,150,111
NM_007157,352,396,366,211,286,154,356,283,278,187,395,336
NM_007213,201,224,334,268,174,126,317,127,166,122,200,146
NM_007220,108,137,125,66,54,49,98,80,75,67,99,91
NM_007231,0,3,0,0,0,0,0,0,1,0,10,0
NM_007250,15,10,9,0,6,5,8,3,7,2,2,9
NM_007268,0,0,0,0,0,0,0,0,0,0,0,0
NM_007309,1,1,1,0,0,0,1,1,2,2,0,0
NM_007325,0,0,0,0,0,0,0,0,1,0,0,0
NM_007363,0,0,0,0,0,0,0,0,0,0,0,0
NM_012069,0,0,0,0,0,0,0,0,0,0,0,0
NM_012080,0,0,0,0,0,0,0,0,0,0,0,0
NM_012084,277,217,212,82,117,90,163,120,188,115,187,211
NM_012151,1,220,251,177,350,70,374,248,385,205,102,145
NM_012196,0,0,0,0,0,0,0,0,0,0,0,0
NM_012216,0,0,0,0,0,0,0,0,0,0,0,0
NM_012227,1209,747,1385,1045,1500,342,1700,1248,1887,579,1233,1458
NM_012253,0,0,0,0,0,0,0,0,0,0,0,0
NM_012274,0,0,0,0,0,0,0,0,0,0,0,0
NM_012278,6,2,7,3,3,1,7,1,3,1,3,5
NM_012280,0,0,0,0,0,0,0,0,0,0,0,0
NM_012282,7,5,10,11,16,10,9,16,14,3,13,5
NM_012286,0,0,0,0,0,0,0,0,0,0,0,0
NM_012310,1879,1707,2026,691,999,805,1602,1383,1173,1071,1321,1451
NM_012317,3,2,6,19,37,0,82,6,2,14,1,2
NM_012471,0,1,0,1,0,2,3,0,1,0,1,0
NM_013239,208,150,194,259,161,75,240,55,289,91,79,226
NM_013271,1,0,0,4,2,0,2,1,0,0,2,2
NM_013346,0,0,0,0,0,0,0,0,0,0,0,0
NM_013347,3,3,7,1,5,2,8,6,3,4,2,1
NM_013364,0,0,0,0,0,0,0,0,0,0,0,0
NM_013423,1,0,0,0,1,1,0,0,0,0,0,0
NM_013427,0,0,0,0,0,0,0,0,0,0,0,0
NM_013444,1282,1428,1383,1118,1350,602,2044,1315,1956,1017,1278,1305
NM_013452,0,2,0,0,0,1,2,0,0,0,0,0
NM_013453,0,0,0,0,0,0,0,0,0,0,0,0
NM_013955,0,0,0,0,0,0,0,0,0,0,0,0
NM_013995,1354,1809,1298,1098,1411,517,1274,1381,1988,1115,1681,1397
NM_014008,871,671,1103,602,654,383,779,539,850,429,591,834
NM_014009,0,0,0,0,0,0,0,0,0,0,0,0
NM_014060,79,53,70,26,39,25,39,42,52,35,38,48
NM_014061,403,357,509,442,386,187,428,408,545,265,472,328
NM_014138,0,0,0,0,0,0,0,0,0,0,0,0
NM_014235,1058,918,1428,747,802,559,988,1004,1130,732,915,893
NM_014253,0,0,0,0,0,0,0,0,0,0,0,0
NM_014271,0,0,0,0,0,0,0,0,1,0,0,0
NM_014289,0,1,0,0,0,1,0,0,0,0,0,0
NM_014332,0,0,0,0,0,0,0,0,0,0,0,0
NM_014370,0,0,0,0,0,0,0,0,0,0,0,0
NM_014380,0,1,1,0,1,0,0,0,0,0,0,2
NM_014467,0,0,0,0,0,1,0,0,0,0,0,0
NM_014481,28,21,25,13,8,16,16,20,30,8,16,17
NM_014496,147,182,208,25,48,9,89,46,62,64,7,30
NM_014499,19,15,11,3,14,8,15,10,16,5,23,11
NM_014500,0,0,0,0,0,0,0,0,0,0,0,0
NM_014563,0,0,0,0,0,0,0,0,0,0,0,0
NM_014599,0,0,1,0,0,0,0,0,0,0,0,0
NM_014710,0,0,0,0,0,0,0,0,0,0,0,0
NM_014725,0,0,0,0,0,0,0,0,0,0,0,0
NM_014728,1,1,0,0,1,0,0,1,1,0,0,0
NM_014735,0,0,0,0,1,0,0,0,1,0,0,1
NM_014782,0,0,0,0,1,0,0,0,0,0,0,0
NM_014799,0,0,0,0,0,0,0,0,0,0,0,0
NM_014927,0,0,0,0,0,0,0,0,0,0,0,0
NM_015075,0,0,0,0,0,0,0,0,0,0,0,0
NM_015107,0,0,0,0,0,0,0,0,0,0,0,0
NM_015129,0,0,0,0,0,0,0,0,0,0,0,0
NM_015185,12,15,12,3,5,3,6,3,13,7,9,14
NM_015365,0,0,0,0,0,0,0,0,0,0,0,0
NM_015419,0,0,0,0,0,0,0,0,0,0,0,0
NM_015507,0,0,0,0,0,0,0,0,0,0,0,0
NM_015686,0,0,3,0,0,0,0,0,0,1,1,0
NM_015691,864,2430,3681,820,1046,910,2129,1266,835,1014,137,544
NM_015698,823,760,866,550,622,302,773,625,1107,443,600,634
NM_015884,624,824,557,319,408,286,595,470,724,416,590,553
NM_015922,0,0,0,0,0,0,0,0,0,0,0,0
NM_015975,652,1020,776,578,942,263,1019,823,1370,549,793,557
NM_016024,819,936,730,547,683,393,788,885,933,588,655,724
NM_016032,0,1,1,0,2,1,5,2,2,0,1,5
NM_016120,0,0,0,0,0,0,0,0,0,0,0,0
NM_016153,0,0,0,0,0,0,0,0,0,0,0,0
NM_016157,0,0,0,0,0,0,0,0,0,0,0,0
NM_016249,0,0,0,0,0,0,0,0,0,0,0,0
NM_016267,0,0,0,0,0,0,0,0,0,0,0,1
NM_016303,0,0,0,0,0,0,0,0,0,0,0,0
NM_016370,27,57,39,16,50,9,73,38,24,28,34,39
NM_016378,0,1,2,0,0,0,0,0,0,0,0,0
NM_016379,0,0,0,0,0,0,0,0,0,0,0,0
NM_016383,0,0,0,0,0,0,0,0,0,0,0,0
NM_016484,1029,798,989,495,753,337,828,653,956,537,722,684
NM_016500,2,1,1,0,2,0,2,2,1,1,1,0
NM_016521,0,3,0,0,0,1,0,0,0,0,0,0
NM_016542,0,0,0,0,0,0,0,0,0,0,0,0
NM_016562,2778,1592,2011,1200,2108,1398,2454,2794,3262,2144,1996,1452
NM_016607,0,0,0,0,0,0,0,0,0,0,0,0
NM_016608,97,91,8,52,84,7,68,48,200,30,57,133
NM_016610,0,0,0,0,0,0,0,0,0,0,0,0
NM_016656,1,5,1,0,2,0,7,1,5,0,0,0
NM_016937,2001,2824,1968,1102,1538,876,2825,1726,2574,1558,1578,2083
NM_016954,0,0,0,0,0,0,0,0,0,0,0,0
NM_017413,75,140,42,52,18,14,45,64,101,27,23,113
NM_017416,1,0,1,0,0,0,0,0,1,1,1,3
NM_017514,360,283,324,337,456,189,465,450,538,245,415,236
NM_017518,1,4,0,0,3,1,0,1,1,0,2,0
NM_017544,0,0,0,0,0,0,0,0,0,0,0,0
NM_017602,0,0,0,0,0,0,0,0,0,0,0,0
NM_017666,179,251,201,186,233,93,351,183,333,199,177,195
NM_017669,613,765,528,304,510,257,723,568,671,472,547,519
NM_017677,90,87,101,41,49,35,63,45,73,50,74,99
NM_017681,0,0,0,0,1,0,0,0,1,0,0,0
NM_017698,0,0,0,0,0,0,0,0,0,0,0,0
NM_017711,0,0,0,0,0,0,0,0,0,0,0,0
NM_017745,0,0,0,0,0,0,0,0,0,0,0,0
NM_017752,111,105,47,30,127,48,70,126,184,87,126,254
NM_017776,0,0,0,0,0,0,0,0,0,0,0,0
NM_017848,6,2,8,1,3,2,7,1,3,6,3,3
NM_017856,3,2,3,0,0,0,6,3,3,0,3,8
NM_017863,0,0,0,0,0,0,0,0,0,0,0,0
NM_017883,0,0,0,0,0,0,0,0,0,0,0,0
NM_017938,0,0,0,0,0,0,0,0,0,0,0,0
NM_018015,9,21,8,5,6,7,11,7,26,7,9,28
NM_018094,648,560,650,408,543,276,577,482,656,402,667,474
NM_018159,0,0,1,1,1,0,0,2,0,0,1,0
NM_018196,0,1,1,0,1,1,3,1,0,0,0,1
NM_018301,100,134,59,32,69,36,140,55,115,55,64,56
NM_018360,45,75,73,25,51,35,70,52,69,50,48,67
NM_018388,0,0,0,0,0,0,0,0,0,0,0,0
NM_018390,2086,1467,1661,774,388,1102,1535,393,875,488,767,1262
NM_018466,0,0,0,0,0,0,0,0,0,0,0,0
NM_018476,0,0,1,1,0,0,0,0,0,0,0,7
NM_018486,0,0,0,0,0,0,0,0,0,0,0,0
NM_018558,9,0,0,0,1,2,7,0,1,1,19,2
NM_018666,0,0,0,0,0,0,0,0,0,8,0,0
NM_018684,0,0,0,0,0,0,0,0,0,0,0,0
NM_018698,0,0,0,0,0,0,0,0,0,0,0,0
NM_018969,0,3,1,0,3,0,2,0,0,0,1,3
NM_018977,0,0,0,0,0,0,0,0,0,0,0,0
NM_018990,10006,7383,10953,6558,6541,3906,9079,5435,12198,5604,7997,7872
NM_019003,1,0,0,4,0,0,6,0,1,0,4,4
NM_019007,0,0,0,0,0,0,0,0,0,0,0,0
NM_019045,0,0,0,0,0,0,0,0,0,0,0,0
NM_019056,0,0,0,0,0,0,1,0,0,0,0,0
NM_019067,0,0,0,0,0,0,0,0,0,0,0,0
NM_019117,0,0,0,0,0,0,0,0,0,0,0,0
NM_019556,3,1,1,0,1,0,0,1,5,0,1,0
NM_019597,0,0,0,0,0,0,0,0,0,0,0,0
NM_019848,0,0,0,0,3,0,0,2,0,0,1,1
NM_019857,0,0,1,0,1,1,1,1,2,1,2,1
NM_019863,0,0,0,1,0,0,0,1,0,0,0,0
NM_019886,198,140,194,174,264,90,362,293,252,116,243,329
NM_020061,0,0,0,0,0,0,0,0,0,0,0,0
NM_020137,2568,1677,2250,1263,1609,826,2043,1355,2194,1201,1797,1455
NM_020384,0,0,0,0,0,0,0,0,0,0,0,0
NM_020473,0,0,0,0,0,0,0,0,0,0,0,0
NM_020665,6,3,8,2,5,10,5,8,6,0,3,11
NM_020717,2,0,0,0,0,0,0,1,0,0,0,0
NM_020721,1,0,1,3,0,0,0,0,0,0,0,0
NM_020730,0,0,1,0,0,0,2,1,1,0,1,0
NM_020742,0,0,0,0,0,0,0,0,0,0,0,0
NM_020766,0,0,0,0,0,0,0,0,0,0,0,0
NM_020769,33,4,7,2,3,4,2,3,2,3,2,7
NM_020871,0,0,0,0,0,0,0,0,0,0,0,0
NM_020922,0,0,0,0,0,0,0,0,0,0,0,0
NM_020932,82,77,93,31,38,55,105,14,46,39,54,70
NM_020994,0,0,0,0,0,0,0,0,0,0,0,0
NM_021014,0,0,0,0,0,1,0,0,0,0,0,0
NM_021015,0,0,0,0,0,0,0,0,0,0,0,0
NM_021029,10,7,12,10,14,3,14,15,20,7,10,7
NM_021048,0,0,0,0,0,0,0,0,0,0,0,0
NM_021049,0,0,0,0,0,0,0,0,0,0,0,0
NM_021083,0,2,1,0,2,1,1,1,1,2,7,1
NM_021109,227420,222865,306165,121444,186522,111346,181585,155068,240904,139667,163851,142063
NM_021118,0,0,0,0,0,0,0,0,0,0,0,1
NM_021120,1,0,0,0,0,0,0,0,0,0,1,1
NM_021123,0,0,0,0,0,0,0,0,0,0,0,0
NM_021140,0,0,0,0,0,0,0,0,0,0,0,0
NM_021183,0,0,0,0,0,0,0,0,0,0,0,0
NM_021242,214,148,215,77,127,55,196,103,184,105,73,98
NM_021637,0,0,0,0,0,0,0,0,0,0,0,0
NM_021783,1,0,0,0,0,0,0,0,0,0,0,0
NM_021785,0,0,0,0,0,0,0,0,0,0,0,0
NM_021796,0,0,0,0,0,0,0,0,0,0,0,0
NM_021804,0,0,2,0,0,2,0,0,1,1,0,0
NM_021806,0,0,0,0,0,0,0,0,0,0,0,0
NM_021946,0,0,0,0,0,0,0,0,0,0,0,0
NM_021949,0,0,0,0,0,0,0,0,0,0,0,0
NM_021963,214,122,123,32,129,63,45,76,97,55,71,117
NM_021992,0,0,2,0,2,0,0,2,5,5,3,1
NM_021998,202,115,191,81,138,66,79,88,175,77,155,112
NM_022052,0,0,0,0,0,0,0,0,0,0,0,0
NM_022053,0,0,0,0,0,0,0,0,0,0,0,0
NM_022076,0,0,0,0,0,0,0,0,0,0,0,0
NM_022101,0,0,0,0,0,0,0,0,0,0,0,0
NM_022117,800,828,859,622,674,231,947,581,951,445,811,715
NM_022144,0,0,0,0,0,0,0,0,0,0,0,0
NM_022148,0,0,0,0,0,0,0,0,0,0,0,0
NM_022368,0,0,0,0,0,0,0,0,0,0,0,0
NM_022567,0,1,10,1,3,1,0,1,2,1,1,2
NM_022661,0,0,0,0,0,0,0,0,0,0,0,0
NM_022825,0,0,0,0,0,0,0,0,0,0,0,0
NM_022838,0,0,0,0,0,0,0,0,0,0,0,0
NM_022977,20,20,12,6,9,5,28,6,25,10,20,8
NM_023010,0,0,0,0,0,0,0,0,0,0,0,0
NM_023934,1778,1727,2439,1517,1548,1070,1935,1803,2520,1244,1250,1429
NM_024003,0,0,0,0,0,0,0,0,0,0,0,0
NM_024082,0,0,0,0,0,0,0,0,0,0,0,0
NM_024087,0,0,0,0,0,0,0,0,0,0,0,0
NM_024122,0,1,0,0,2,0,0,1,1,0,1,0
NM_024332,1,0,1,0,0,0,2,1,1,0,1,1
NM_024528,488,662,480,554,636,208,653,667,726,363,653,622
NM_024539,0,0,0,0,0,0,0,0,0,0,0,0
NM_024597,0,0,0,0,0,0,0,0,0,0,0,0
NM_024657,0,0,0,0,0,0,0,0,0,0,0,0
NM_024689,0,0,0,0,0,0,0,0,0,0,0,0
NM_024778,0,0,0,0,0,0,0,0,0,0,0,0
NM_024859,0,2,0,0,1,0,2,0,0,0,0,0
NM_024863,0,0,0,0,0,0,0,0,0,0,0,0
NM_024885,0,0,0,0,0,0,0,0,1,0,1,0
NM_024917,10,5,10,1,1,4,10,3,8,3,3,3
NM_024921,9,20,22,4,34,7,0,12,13,1,73,21
NM_025159,1367,1465,2565,547,1223,630,2069,1342,1021,1582,1250,1132
NM_025184,1,21,3,0,4,2,14,4,5,9,1,2
NM_030624,844,885,583,273,480,277,659,586,672,486,562,669
NM_030639,0,0,0,0,0,0,0,0,0,0,0,0
NM_030763,613,756,745,341,904,397,1182,887,625,864,819,685
NM_030801,0,0,0,0,0,0,0,0,0,0,0,0
NM_031206,3,7,4,1,2,1,3,2,3,0,3,3
NM_031273,1,0,1,0,0,0,0,0,0,0,0,0
NM_031274,0,0,0,0,0,0,0,0,0,0,0,0
NM_031276,0,0,0,0,0,0,0,0,0,0,0,0
NM_031407,21860,21015,19646,10753,13801,8981,23383,11227,26104,15246,13296,17701
NM_031442,0,0,0,0,0,0,0,0,0,0,0,0
NM_031462,0,0,0,0,0,0,0,0,0,0,0,0
NM_031892,144,132,123,115,378,67,637,341,187,81,275,485
NM_031894,0,0,0,0,0,0,0,0,0,0,0,0
NM_031907,0,0,0,0,0,0,0,0,0,0,1,0
NM_032121,4054,3588,3652,2341,3022,1351,2905,3357,3213,2007,4941,2867
NM_032227,84,24,39,17,18,20,30,18,40,25,14,37
NM_032335,0,1,0,0,0,0,1,1,1,0,0,1
NM_032417,0,0,0,0,0,0,0,0,0,0,0,0
NM_032428,1,0,2,0,11,1,1,1,1,1,0,1
NM_032458,18,18,11,3,6,14,11,7,18,7,10,12
NM_032461,2,1,0,0,0,0,0,0,0,0,0,0
NM_032498,0,0,0,0,0,0,0,0,0,0,0,0
NM_032508,0,0,0,0,0,0,0,0,0,0,0,0
NM_032512,0,0,0,0,0,0,0,0,0,0,0,0
NM_032539,0,0,0,0,0,0,0,0,0,0,0,0
NM_032553,346,312,336,86,181,77,400,153,228,258,385,213
NM_032591,0,0,0,1,0,0,0,0,0,0,0,0
NM_032621,0,0,0,0,0,0,0,0,0,0,0,0
NM_032796,0,0,0,0,0,1,0,0,0,0,0,0
NM_032803,0,0,0,0,0,0,0,0,0,0,0,0
NM_032882,1,0,4,0,4,0,0,3,2,0,3,3
NM_032926,0,0,0,0,0,0,0,0,0,0,0,0
NM_032946,0,0,0,0,0,0,0,0,0,0,0,0
NM_032968,0,0,0,0,0,0,0,0,0,0,0,0
NM_032969,0,0,0,0,0,0,0,0,0,0,0,0
NM_033018,14,14,21,12,17,8,24,11,29,13,15,14
NM_033031,11,14,3,3,3,3,6,4,9,2,14,7
NM_033048,0,0,0,0,0,0,0,0,0,0,0,0
NM_033053,0,0,0,0,0,0,0,0,0,0,0,0
NM_033085,0,0,0,0,0,0,0,0,0,0,0,0
NM_033215,4,5,6,26,38,1,71,26,31,1,34,31
NM_033289,0,0,0,0,0,0,0,0,0,0,0,0
NM_033290,0,0,0,0,0,0,0,0,0,0,0,0
NM_033380,0,0,0,0,0,0,0,0,0,0,0,0
NM_033495,0,0,0,0,0,0,0,0,0,0,0,0
NM_033518,1523,1208,2333,1631,1538,856,1995,1432,2007,834,1561,1336
NM_033626,0,0,0,0,0,0,0,0,0,0,0,0
NM_033641,0,0,0,0,0,0,0,0,0,0,0,0
NM_033642,0,0,0,0,0,0,0,0,0,0,0,0
NM_033670,0,0,0,0,0,0,0,0,0,0,0,0
NM_052817,0,0,0,0,0,0,0,0,0,0,0,0
NM_052926,0,0,0,0,0,0,0,0,0,0,0,0
NM_052936,10,4,9,0,7,2,6,2,12,3,10,5
NM_052957,75,55,78,44,59,25,75,45,71,29,60,32
NM_053281,0,0,0,0,0,0,0,0,0,0,0,0
NM_054021,0,0,0,0,0,0,0,0,1,0,0,0
NM_057162,0,0,0,0,0,0,0,0,0,0,0,0
NM_058163,1592,1109,1807,888,1190,566,1220,1000,1390,919,1055,973
NM_078628,365,705,802,584,427,179,1008,452,862,737,812,625
NM_078629,0,0,0,0,0,0,0,0,0,0,0,0
NM_080390,7,14,39,9,2,1,8,9,52,6,0,16
NM_080612,0,0,0,0,0,0,0,0,0,0,0,0
NM_080632,1,2,0,0,1,0,1,0,1,0,0,0
NM_080701,10,3,8,12,9,1,20,7,7,4,8,5
NM_080720,0,0,0,0,0,0,0,0,0,0,0,0
NM_080737,0,0,0,0,0,0,0,0,0,0,0,0
NM_080817,97,23,56,16,62,24,62,41,79,19,15,7
NM_080832,0,0,0,0,0,0,0,0,0,0,0,0
NM_080873,0,0,0,0,0,0,0,0,0,0,0,0
NM_080879,17,21,13,11,8,5,18,8,26,8,8,18
NM_130388,0,2,0,1,3,2,2,2,1,4,1,1
NM_130467,0,0,0,0,0,0,0,0,0,0,0,0
NM_130775,0,0,0,0,0,0,0,0,0,0,0,0
NM_130776,0,0,0,0,0,0,0,0,0,0,0,0
NM_130777,0,0,0,0,0,0,0,0,0,0,0,0
NM_133179,0,0,0,0,0,0,0,0,0,0,0,0
NM_133265,35,27,15,0,3,9,16,21,2,1,21,30
NM_133486,0,0,0,0,0,0,2,1,0,0,0,0
NM_133499,0,0,0,0,0,0,0,0,0,0,0,0
NM_134445,0,0,0,0,0,0,0,0,0,0,0,0
NM_134446,0,0,0,0,0,0,0,0,0,0,0,0
NM_138270,0,0,0,0,0,0,0,0,0,0,0,0
NM_138289,0,0,0,0,0,0,0,0,0,0,0,0
NM_138362,0,0,0,0,0,0,0,0,0,0,0,0
NM_138382,0,0,0,0,0,0,0,0,0,0,0,0
NM_138437,0,0,0,0,0,0,0,0,0,0,0,0
NM_138636,0,0,0,0,0,0,0,0,0,0,0,0
NM_138702,0,0,0,0,0,0,0,0,0,0,0,0
